date,caserate7d100k
2021-05-13,73.57
2021-05-12,74.39
2021-05-11,77.08
2021-05-10,79.98
2021-05-09,82.6
2021-05-08,85.44
2021-05-07,88.95
2021-05-06,92.16
2021-05-05,95.99
2021-05-04,99.09
2021-05-03,101.39
2021-05-02,103.39
2021-05-01,104.72
2021-04-30,105.78
2021-04-29,108.07
2021-04-28,110.15
2021-04-27,112.85
2021-04-26,115.15
2021-04-25,113.89
2021-04-24,116.6
2021-04-23,124.46
2021-04-22,127.19
2021-04-21,130.27
2021-04-20,132.63
2021-04-19,136.84
2021-04-18,144.79
2021-04-17,146.03
2021-04-16,143.02
2021-04-15,144.52
2021-04-14,145.62
2021-04-13,146.79
2021-04-12,144.4
2021-04-11,142.84
2021-04-10,140.15
2021-04-09,138.76
2021-04-08,136.93
2021-04-07,136.15
2021-04-06,134.63
2021-04-05,133.9
2021-04-04,134.28
2021-04-03,136.67
2021-04-02,136.55
2021-04-01,137.8
2021-03-31,135.31
2021-03-30,134.46
2021-03-29,133.33
2021-03-28,130.39
2021-03-27,127.96
2021-03-26,126.49
2021-03-25,122.61
2021-03-24,121.61
2021-03-23,119.76
2021-03-22,117.87
2021-03-21,116.39
2021-03-20,117.07
2021-03-19,115.22
2021-03-18,115.8
2021-03-17,115.01
2021-03-16,115.04
2021-03-15,115.42
2021-03-14,115.33
2021-03-13,114.11
2021-03-12,115.7
2021-03-11,115.69
2021-03-10,117.31
2021-03-09,118.44
2021-03-08,118.88
2021-03-07,121.26
2021-03-06,123.85
2021-03-05,126.96
2021-03-04,129.8
2021-03-03,131.72
2021-03-02,133.8
2021-03-01,138.64
2021-02-28,140.16
2021-02-27,141.28
2021-02-26,140.72
2021-02-25,140.73
2021-02-24,139.72
2021-02-23,137.08
2021-02-22,133.16
2021-02-21,133.76
2021-02-20,137.03
2021-02-19,142.67
2021-02-18,149.94
2021-02-17,159.24
2021-02-16,169.85
2021-02-15,180.12
2021-02-14,187.38
2021-02-13,194.98
2021-02-12,202.17
2021-02-11,210.39
2021-02-10,218.26
2021-02-09,221.14
2021-02-08,230.36
2021-02-07,244.39
2021-02-06,250.57
2021-02-05,259.28
2021-02-04,271.21
2021-02-03,280.44
2021-02-02,295.73
2021-02-01,303.19
2021-01-31,304.81
2021-01-30,314.42
2021-01-29,322.7
2021-01-28,330.57
2021-01-27,340.39
2021-01-26,349.16
2021-01-25,350.16
2021-01-24,355.32
2021-01-23,367.26
2021-01-22,381.85
2021-01-21,396.67
2021-01-20,407.2
2021-01-19,419.25
2021-01-18,439.8
2021-01-17,455.81
2021-01-16,468.09
2021-01-15,480.73
2021-01-14,496.89
2021-01-13,510.68
2021-01-12,520.11
2021-01-11,527.66
2021-01-10,518.88
2021-01-09,512.93
2021-01-08,504.33
2021-01-07,484.67
